,Comments,Quality,Difficulty,Dates,TeacherID
0,"Professor Acres is incredible--friendly, knowledgeable, & passionate. He knows the material well and shares his enthusiasm for it with the class. He kept lectures upbeat/interesting, and I really learned from him. Heavy memorization of pieces, but he leaves room for creativity in essays. I only wish I had been able to get to know him better!",5.0,4.0,"May 2nd, 2017",336888
1,He is an amazing professor- I definitely recommend him,5.0,3.0,"Apr 28th, 2017",336888
2,Great!,3.0,3.0,"Mar 23rd, 2012",336888
3,Awesome,5.0,1.0,"Feb 1st, 2011",336888
4,"Al is an absolutely great professor. His seminar was the most engaging I had at Princeton--and I studied with some of the top people. He is meticulously well-prepared, rigorous, and he really cares about the material he teaches. He also cares about his students. If you have a chance to study with this man, don't miss it. A great teacher!",5.0,4.0,"Oct 21st, 2007",336888
5,"Now at Georgetown, he is the prof that got me interested in art history. very clear, easy to understand and practical. all the material is in the lectures so if you go to class then you don;t have to read. hes very well prepared and always willing to meet for help. when he shows you around the NGA you can tell how much he loves the material- great!",5.0,2.0,"Jun 15th, 2007",336888
6,"Not only the most helpful, thought-provoking, and friendly professor I've had on a personal level in my life, but an eloquent lecturer who really cares about his students and the material. Whichever school he ends up at will be very, very lucky. He makes me want to continue with my studies and go to graduate school, no doubt about it.",5.0,3.0,"Dec 11th, 2005",336888
7,"One of the BEST professors on campus. Dynamic, engaging and brilliant. The art history department will not find a better Northern Ren prof and they will regret losing him. Take a class with him while you can!",5.0,4.0,"Sep 4th, 2005",336888
8,Awesome professor. It makes me sad he didn't get tenure.,5.0,3.0,"Apr 26th, 2005",336888
9,AL IS THE BEST PROF EVER! I LOVE HISTORY BECAUSE OF HIM! I ALSO HAD A LOT OF FUN ON THE CRUISE! :),5.0,5.0,"Sep 14th, 2004",336888
10,"Systematic and well-prepared, Acres is a wonderful professor",4.0,4.0,"Mar 31st, 2004",336888
11,"Extremely boring lectures, poor teaching.",2.0,1.0,"Oct 11th, 2013",1695875
12,"Made me lose my interest in Economics.. basically self-taught the entire course, going to lecture was pretty pointless.",1.0,3.0,"Jun 13th, 2013",1695875
13,strong latin accent and very fast speech requires strict attention but still very very hard to fully understand even with microphone on. Young and very attractive and very smart and prepared.,2.5,3.0,"Feb 22nd, 2012",1695875
14,"Professor Aksay was undoubtedly the best professor I've had so far at Princeton. CBE Thermodynamics is an insanely hard class, but he put an incredible amount of effort into teaching, and it really showed. His lectures are fantastic, HW assignments are hard but helpful, and exams are extremely fair. He also handpicks actually useful TA's.",5.0,4.0,"Jun 2nd, 2015",2020549
15,,1.0,3.0,"Mar 28th, 2010",1348710
16,Good guy; can be difficult to understand what he's looking for at times.  Very passionate about his subject.  Frustrated by immaturity (very understandably). Will challenge you to push yourself.,3.5,3.0,"Nov 22nd, 2010",818560
17,nice guy.  hard grader.  can sometimes be a little abstract and hard to understand exactly what he's looking for but he'll keep trying to answer your question.,4.0,3.0,"Aug 25th, 2006",818560
18,very hard lot of homework,2.0,4.0,"Jul 5th, 2017",2016822
19,"The material is super interesting, but the class is pretty tough. ",5.0,4.0,"May 18th, 2015",2016822
20,Excellent,5.0,1.0,"Jun 10th, 2009",568904
21,No Comments,3.0,5.0,"Oct 5th, 2005",568904
22,ick,1.0,5.0,"Sep 21st, 2005",568904
23,No Comments,1.0,5.0,"Aug 30th, 2005",568904
24,"What a great woman. She is loaded with advice, and has great discussions. Ask her about her family, or her art. She is awesome with lines!",5.0,4.0,"Sep 4th, 2019",228573
25,"What a great woman. She is loaded with advice, and has great discussions. Ask her about her family, or her art. She is awesome with lines!",4.5,2.0,"Mar 27th, 2014",228573
26,"She is dedicated to teach, gives great feedback, helpful and caring. (Never exaggerates any though on your piece, good or bad, she comments calmly, doesn't feed your ego, doesn't make you feel cheap.) She wants you to feel free and go with your instincts. Within that she helps you to develop yourself as an artist!",1.0,2.0,"Nov 13th, 2007",228573
27,Boring.,3.5,2.0,"Jun 13th, 2007",228573
28,"Great course! (Intro to Drawing) It helped me develop my skills. Eve is kind of 'out there' very much a fan of abstract art, so be prepared to interpret. The trips were great, and she's very enthusiastic.",5.0,1.0,"Sep 24th, 2005",228573
